member_id,name,party,x_handle,note
H-0001,逢沢 一郎,自民,ichiroaisawa,Wikidata P2002候補 Q467453。要公式確認
H-0002,青木 ひとみ,参政,aoki_sanseito,Wikidata P2002候補 Q138123242。要公式確認
H-0003,青柳 仁士,維新,aoyagi_h,Wikidata P2002候補 Q41770689。要公式確認
H-0004,青山 繁晴,自民,aoyamashigeharu,Wikidata P2002候補 Q11661317。要公式確認
H-0005,青山 周平,自民,ao_shu_office,Wikidata P2002候補 Q11661236。要公式確認
H-0006,赤澤 亮正,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0007,赤羽 一嘉,中道,AKBhyogo2ku,Wikidata P2002候補 Q6381788。要公式確認
H-0008,あかま 二郎,自民,jiroakama0327,Xプロフィール/検索結果から自動登録。要公式確認
H-0009,秋葉 賢也,自民,akibakenya,Wikidata P2002候補 Q49996。要公式確認
H-0010,浅田 眞澄美,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0011,浅野 哲,国民,Asano__Satoshi,Wikidata P2002候補 Q41770642。要公式確認
H-0012,東 国幹,自民,azuma0217,Wikidata P2002候補 Q109342279。要公式確認
H-0013,東 徹,維新,toru_azuma,公式サイトSNSページとXプロフィールで確認
H-0014,畦元 将吾,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0015,麻生 太郎,自民,taro_aso_,Wikidata P2002候補 Q132596。要公式確認
H-0016,阿部 圭史,維新,abe_keishi,Wikidata P2002候補 Q130746313。要公式確認
H-0017,阿部 司,維新,abe2kasa,Wikidata P2002候補 Q108777328。要公式確認
H-0018,あべ 俊子,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0019,阿部 弘樹,自民,HirokiAbe1961,Wikidata P2002候補 Q109598988。要公式確認
H-0020,有田 芳生,中道,arita_office,Xプロフィール/検索結果から自動登録。要公式確認
H-0021,安藤 たかお,自民,andotakao1959,Xプロフィール/検索結果から自動登録。要公式確認
H-0022,飯泉 嘉門,国民,iizumi_comeon,Wikidata P2002候補 Q1670854。要公式確認
H-0023,五十嵐 清,自民,igakiyo1969,Wikidata P2002候補 Q109362574。要公式確認
H-0024,池下 卓,維新,iketaku_0410,Wikidata P2002候補 Q109349388。要公式確認
H-0025,池畑 浩太朗,維新,VGZ20ydBf5ouj4c,Wikidata P2002候補 Q41770920。要公式確認
H-0026,伊佐 進一,中道,isashinichi,Wikidata P2002候補 Q11378895。要公式確認
H-0027,石井 啓一,無,keiichi_ishii_,Xプロフィール/検索結果から自動登録。要公式確認
H-0028,石井 拓,自民,takuishii,Wikidata P2002候補 Q109378463。要公式確認
H-0029,石川 昭政,自民,iakimasa1,Wikidata P2002候補 Q11585840。要公式確認
H-0030,石川 勝,参政,ishikawamasaru,Wikidata P2002候補 Q138357535。要公式確認
H-0031,石坂 太,自民,ishimasa1223,Wikidata P2002候補 Q138145234。要公式確認
H-0032,石田 真敏,自民,ishidamasatoshi,Wikidata P2002候補 Q6782738。要公式確認
H-0033,石破 茂,自民,shigeruishiba,Wikidata P2002候補 Q1335527。要公式確認
H-0034,石橋 林太郎,自民,ishibashi_rintaro,Wikidata P2002候補 Q109598962。要公式確認
H-0035,石原 宏高,自民,ishiharahirotak,Wikidata P2002候補 Q506730。要公式確認
H-0036,石原 正敬,自民,fu_un17,Xプロフィールで確認
H-0037,泉 健太,中道,izmkenta,Wikidata P2002候補 Q6391984。要公式確認
H-0038,一谷 勇一郎,維新,y_ichitani,Wikidata P2002候補 Q109598975。要公式確認
H-0039,市村 浩一郎,維新,ichimura_staff,Xプロフィール/検索結果から自動登録。要公式確認
H-0040,井出 庸生,自民,yousei_ide,Wikidata P2002候補 Q11373350。要公式確認
H-0041,井戸 まさえ,国民,idomasae,Xプロフィール/検索結果から自動登録。要公式確認
H-0042,伊藤 恵介,参政,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0043,伊藤 聡,自民,itosatoshi,Wikidata P2002候補 Q138304276。要公式確認
H-0044,伊藤 信太郎,自民,ShintaroIto1121,公式サイト/自民党ページとXプロフィールで確認
H-0045,伊藤 忠彦,自民,tadahiko_itoh,Wikidata P2002候補 Q7674280。要公式確認
H-0046,伊藤 達也,自民,tatsuyaito0501,Xプロフィール/検索結果から自動登録。要公式確認
H-0047,伊東 信久,維新,nobuhisaito11,Wikidata P2002候補 Q11379447。要公式確認
H-0048,伊東 良孝,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0049,稲田 朋美,自民,dento_to_souzo,Wikidata P2002候補 Q1654408。要公式確認
H-0050,稲葉 大輔,自民,inaba_daisuke,Wikidata P2002候補 Q138140455。要公式確認
H-0051,犬飼 明佳,中道,inukaiwan,Wikidata P2002候補 Q138337370。要公式確認
H-0052,井野 俊郎,自民,OlHtpHMOe6pxi7i,Wikidata P2002候補 Q11373778。要公式確認
H-0053,井上 信治,自民,shinrai_seiji,Wikidata P2002候補 Q7497583。要公式確認
H-0054,井上 貴博,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0055,井上 英孝,維新,hidetaka_i,Wikidata P2002候補 Q11373203。要公式確認
H-0056,井林 辰憲,自民,T_Ibayashi,Wikidata P2002候補 Q11373633。要公式確認
H-0057,井原 巧,自民,takumi_ihara,Wikidata P2002候補 Q16264294。要公式確認
H-0058,井原 隆,自民,iharayutaka1983,Wikidata P2002候補 Q138170361。要公式確認
H-0059,今枝 宗一郎,自民,imaeda_soichiro,Wikidata P2002候補 Q11377132。要公式確認
H-0060,今岡 植,自民,ImaokaUeki,Wikidata P2002候補 Q138048446。要公式確認
H-0061,岩崎 比菜,自民,iwasaki_hina_,Wikidata P2002候補 Q138297668。要公式確認
H-0062,岩田 和親,自民,Kazuchika_Iwata,Wikidata P2002候補 Q11475456。要公式確認
H-0063,岩谷 良平,維新,Iwatani_Ryohei,Wikidata P2002候補 Q109349708。要公式確認
H-0064,岩屋 毅,自民,takeshi108,Wikidata P2002候補 Q1654639。要公式確認
H-0065,上杉 謙太郎,自民,uesugi_jimusyo,Wikidata P2002候補 Q41770625。要公式確認
H-0066,上田 英俊,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0067,上野 賢一郎,自民,Ueno_Kenichiro,Wikidata P2002候補 Q6389276。要公式確認
H-0068,上野 宏史,自民,ueno_hiroshi,Wikidata P2002候補 Q11360320。要公式確認
H-0069,上原 正裕,自民,masahiro0130,Wikidata P2002候補 Q138298592。要公式確認
H-0070,浮島 智子,中道,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0071,宇佐美 登,みらい,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0072,臼木 秀剛,国民,hide_usuki,Wikidata P2002候補 Q130726954。要公式確認
H-0073,内山 こう,自民,kou_uchiyama,Xプロフィール/検索結果から自動登録。要公式確認
H-0074,梅村 聡,維新,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0075,浦野 靖人,維新,uranoyasuto,Wikidata P2002候補 Q11558377。要公式確認
H-0076,うるま 譲司,維新,urumageorge,Xプロフィール/検索結果から自動登録。要公式確認
H-0077,江渡 聡徳,自民,ETO_Akinori,Wikidata P2002候補 Q49999。要公式確認
H-0078,江藤 拓,自民,etoh_taku,Wikidata P2002候補 Q7678527。要公式確認
H-0079,衛藤 博昭,自民,etohiroaki,Wikidata P2002候補 Q138089893。要公式確認
H-0080,英利アルフィヤ,自民,eri_arfiya,Wikidata P2002候補 Q116272189。要公式確認
H-0081,遠藤 敬,維新,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0082,遠藤 寛明,自民,endohiroaki1121,Wikidata P2002候補 Q138122126。要公式確認
H-0083,大岡 敏孝,自民,OookaToshitaka,Wikidata P2002候補 Q11434738。要公式確認
H-0084,大串 正樹,自民,Ogushi_Masaki,Wikidata P2002候補 Q11431868。要公式確認
H-0085,大島 敦,中道,oshima_jimusho,Xプロフィール/検索結果から自動登録。要公式確認
H-0086,大空 幸星,自民,ozorakoki,Wikidata P2002候補 Q108776690。要公式確認
H-0087,大塚 拓,自民,otsukataku,Wikidata P2002候補 Q7678536。要公式確認
H-0088,大西 洋平,自民,0024youhei,Xプロフィール/検索結果から自動登録。要公式確認
H-0089,大野 敬太郎,自民,keitaro_ohno,Wikidata P2002候補 Q11439619。要公式確認
H-0090,大森 江里子,中道,eriko_omori,Wikidata P2002候補 Q130828253。要公式確認
H-0091,緒方 林太郎,無,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0092,岡野 純子,国民,junko_okano,Wikidata P2002候補 Q41805222。要公式確認
H-0093,岡本 三成,中道,OkamotoOffice,Wikidata P2002候補 Q16264927。要公式確認
H-0094,岡本 康宏,自民,2RwNwJzVAefWcc1,Wikidata P2002候補 Q138315364。要公式確認
H-0095,小川 淳也,中道,junyaog,Wikidata P2002候補 Q6314413。要公式確認
H-0096,奥下 剛光,維新,okutake10,Wikidata P2002候補 Q41770908。要公式確認
H-0097,尾崎 正直,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0098,長田 紘一郎,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0099,小里 泰弘,自民,ozato_yasuhiro,Wikidata P2002候補 Q8049988。要公式確認
H-0100,小竹 凱,国民,odake_kokumin,Wikidata P2002候補 Q130732955。要公式確認
H-0101,小田原 潔,自民,odawarakiyoshi,Wikidata P2002候補 Q11462993。要公式確認
H-0102,落合 貴之,中道,ochiaitakayuki,公式サイトとXプロフィールで確認
H-0103,鬼木 誠,自民,onikidon,Xプロフィール/検索結果から自動登録。要公式確認
H-0104,小野寺 五典,自民,itsunori510,Wikidata P2002候補 Q49969。要公式確認
H-0105,尾花 瑛仁,自民,obana_akihito,Wikidata P2002候補 Q138047041。要公式確認
H-0106,小渕 優子,自民,obuchiyukostaff,Xプロフィール/検索結果から自動登録。要公式確認
H-0107,尾身 朝子,自民,asako_omi,Xプロフィール/検索結果から自動登録。要公式確認
H-0108,河西 宏一,中道,kasai_koichi,Wikidata P2002候補 Q109376555。要公式確認
H-0109,鹿嶋 祐介,自民,kashimayusuke_,Wikidata P2002候補 Q138303382。要公式確認
H-0110,梶山 弘志,自民,kajiyamahiroshi,Wikidata P2002候補 Q5770884。要公式確認
H-0111,柏倉 祐司,維新,Kashiwakura_Y,Wikidata P2002候補 Q11533657。要公式確認
H-0112,勝俣 孝明,自民,takaaki_katsu,Wikidata P2002候補 Q11400147。要公式確認
H-0113,勝目 康,自民,KatsumeYasushi,Wikidata P2002候補 Q109349061。要公式確認
H-0114,門 寛子,自民,hirokokado,Wikidata P2002候補 Q128850526。要公式確認
H-0115,加藤 鮎子,自民,katoayuko_and_s,Wikidata P2002候補 Q18701018。要公式確認
H-0116,加藤 勝信,自民,katsunobukato,Wikidata P2002候補 Q6378155。要公式確認
H-0117,加藤 貴弘,自民,kato_t19,Wikidata P2002候補 Q138047028。要公式確認
H-0118,加藤 大博,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0119,加藤 竜祥,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0120,門山 宏哲,自民,kado_support,Wikidata P2002候補 Q16769971。要公式確認
H-0121,金澤 結衣,自民,kanazawa_yui,Wikidata P2002候補 Q138266720。要公式確認
H-0122,金子 恵美,中道,Emi_Kaneko_,Xプロフィールで現職表記を確認
H-0123,金子 恭之,自民,nekotanchan,Wikidata P2002候補 Q8050092。要公式確認
H-0124,金子 容三,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0125,金村 龍那,維新,kanemura_you,Wikidata P2002候補 Q109376020。要公式確認
H-0126,上川 陽子,自民,Kamikawa_Yoko,Wikidata P2002候補 Q276275。要公式確認
H-0127,神谷 裕,中道,kamiyahokkaido,Wikidata P2002候補 Q41618899。要公式確認
H-0128,川 裕一郎,参政,y16kawa,Wikidata P2002候補 Q128840737。要公式確認
H-0129,河井 昭成,国民,kawai_akinari,Wikidata P2002候補 Q138357409。要公式確認
H-0130,河合 道雄,みらい,michio_mirai,Wikidata P2002候補 Q138135685。要公式確認
H-0131,川崎 ひでと,自民,kawasaki_hideto,Xプロフィール/検索結果から自動登録。要公式確認
H-0132,河野 正美,自民,mkawano2416,Wikidata P2002候補 Q11554229。要公式確認
H-0133,河野 義博,中道,yoshihirokawano,Wikidata P2002候補 Q20041481。要公式確認
H-0134,川松 真一朗,自民,kawamatsushin16,Wikidata P2002候補 Q11478849。要公式確認
H-0135,河村 たかし,無,kawamura758,Wikidata P2002候補 Q440000。要公式確認
H-0136,菅家 一郎,自民,kanke_ichirou,Wikidata P2002候補 Q11619261。要公式確認
H-0137,神田 潤一,自民,Jun1CanDo,Wikidata P2002候補 Q109288222。要公式確認
H-0138,城内 実,自民,minoru_kiuchi,Wikidata P2002候補 Q11425985。要公式確認
H-0139,黄川田 仁志,自民,kikawadahitoshi,Wikidata P2002候補 Q11677736。要公式確認
H-0140,菊田 真紀子,中道,kikuta_official,Wikidata P2002候補 Q6739516。要公式確認
H-0141,岸 信千世,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0142,岸田 文雄,自民,kishida230,Wikidata P2002候補 Q359480。要公式確認
H-0143,喜多 義典,維新,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0144,北神 圭朗,自民,kitagamikeiro,Wikidata P2002候補 Q6383814。要公式確認
H-0145,木下 敏之,参政,toshiyuki_kino,Xプロフィール/検索結果から自動登録。要公式確認
H-0146,木原 誠二,自民,kihara_seiji,Wikidata P2002候補 Q11518222。要公式確認
H-0147,木原 稔,自民,kihara_minoru,Wikidata P2002候補 Q11518220。要公式確認
H-0148,木村 次郎,自民,jiro_k_tsugaru,Wikidata P2002候補 Q41770594。要公式確認
H-0149,金城 泰邦,中道,yashkunikinjou,Wikidata P2002候補 Q109598961。要公式確認
H-0150,草間 剛,自民,kusamatsuyoshi,Wikidata P2002候補 Q130741560。要公式確認
H-0151,工藤 彰三,自民,kudoshozo_aichi,Xプロフィールで確認
H-0152,工藤 聖子,参政,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0153,国定 勇人,自民,kunisadaisato,Wikidata P2002候補 Q11420709。要公式確認
H-0154,國重 徹,中道,ToruKunishige,Wikidata P2002候補 Q11422753。要公式確認
H-0155,国光 あやの,自民,ayano_kunimitsu,Xプロフィール/検索結果から自動登録。要公式確認
H-0156,熊田 裕通,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0157,栗原 渉,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0158,黒崎 祐一,自民,kuro1_jp,Wikidata P2002候補 Q131417512。要公式確認
H-0159,黒田 征樹,維新,ishinkuroda,Wikidata P2002候補 Q130726950。要公式確認
H-0160,小池 正昭,自民,koikemasaaki,Wikidata P2002候補 Q130741350。要公式確認
H-0161,小泉 進次郎,自民,shinjirokoiz,Wikidata P2002候補 Q661410。要公式確認
H-0162,小泉 龍司,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0163,河野 太郎,自民,konotarogomame,Wikidata P2002候補 Q1161024。要公式確認
H-0164,高村 正大,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0165,こうらい啓一郎,自民,kouraikei,Xプロフィール/検索結果から自動登録。要公式確認
H-0166,古賀 篤,自民,kogaatsushi,Wikidata P2002候補 Q11411691。要公式確認
H-0167,國場 幸之助,自民,kokubkonosuke,Wikidata P2002候補 Q11422694。要公式確認
H-0168,輿水 恵一,中道,koshimizu_k1,Wikidata P2002候補 Q11637774。要公式確認
H-0169,小寺 裕雄,自民,koteranran,Wikidata P2002候補 Q41770869。要公式確認
H-0170,後藤 茂之,自民,Goto_Shigeyuki,Wikidata P2002候補 Q7496422。要公式確認
H-0171,後藤 祐一,中道,yuichi510510,Wikidata P2002候補 Q11488572。要公式確認
H-0172,許斐 亮太郎,国民,KonomiRyotaro,Wikidata P2002候補 Q130742373。要公式確認
H-0173,小林 茂樹,自民,ShigekiNara,Wikidata P2002候補 Q11461866。要公式確認
H-0174,小林 修平,みらい,syuhei_mirai,Wikidata P2002候補 Q138049668。要公式確認
H-0175,小林 鷹之,自民,kobahawk,Wikidata P2002候補 Q11461955。要公式確認
H-0176,小林 史明,自民,kb2474,Wikidata P2002候補 Q11461458。要公式確認
H-0177,小森 卓郎,自民,takuokomori_1,Wikidata P2002候補 Q109347399。要公式確認
H-0178,今 洋佑,自民,KONYosuke0118,Wikidata P2002候補 Q138315455。要公式確認
H-0179,近藤 和也,中道,kondokazuya,Wikidata P2002候補 Q11638747。要公式確認
H-0180,近藤 雅彦,国民,kondo_masahiko6,Wikidata P2002候補 Q138173957。要公式確認
H-0181,斉木 武志,自民,saiki_takeshi,Wikidata P2002候補 Q11500159。要公式確認
H-0182,西條 昌良,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0183,斎藤アレックス,維新,AlexSaito2019,Wikidata P2002候補 Q109598958。要公式確認
H-0184,齋藤 健,自民,saitou_ken,Wikidata P2002候補 Q11679075。要公式確認
H-0185,斉藤 鉄夫,中道,saitotetsuo,Wikidata P2002候補 Q926287。要公式確認
H-0186,斎藤 洋明,自民,saito_hiroaki_,Wikidata P2002候補 Q17158549。要公式確認
H-0187,斉藤 りえ,自民,riesaito2019,Xプロフィール/検索結果から自動登録。要公式確認
H-0188,坂井 学,自民,sakai_manabu,Wikidata P2002候補 Q6746574。要公式確認
H-0189,坂本 哲志,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0190,坂本 竜太郎,自民,ryuchan_support,Wikidata P2002候補 Q130710772。要公式確認
H-0191,笹川 博義,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0192,佐々木 紀,自民,hajime24331,Wikidata P2002候補 Q17158871。要公式確認
H-0193,佐々木 真琴,国民,ma_____1122,Wikidata P2002候補 Q138132506。要公式確認
H-0194,佐藤 英道,中道,hidemichisato,Wikidata P2002候補 Q11384409。要公式確認
H-0195,佐藤 主迪,自民,satoumasashi310,Wikidata P2002候補 Q138299098。要公式確認
H-0196,塩川 鉄也,共産,ShiokawaTetsuya,Wikidata P2002候補 Q7706956。要公式確認
H-0197,塩崎 彰久,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0198,重徳 和彦,中道,shigetoku2,Wikidata P2002候補 Q11644760。要公式確認
H-0199,繁本 護,自民,shigeport,Wikidata P2002候補 Q41794101。要公式確認
H-0200,階 猛,中道,shinatakeshi,Wikidata P2002候補 Q49875。要公式確認
H-0201,柴山 昌彦,自民,shiba_masa,Wikidata P2002候補 Q6782350。要公式確認
H-0202,島尻 安伊子,自民,shimajiriaiko,Wikidata P2002候補 Q4696975。要公式確認
H-0203,島田 智明,自民,TomoakiShimada,Wikidata P2002候補 Q52717578。要公式確認
H-0204,島村 かおる,参政,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0205,下村 博文,自民,hakubun_s,Wikidata P2002候補 Q1655220。要公式確認
H-0206,庄子 賢一,中道,shoji_kenichi,Wikidata P2002候補 Q109362242。要公式確認
H-0207,白坂 亜紀,自民,shirasaka_aki,Wikidata P2002候補 Q115529373。要公式確認
H-0208,新谷 正義,自民,Shintani_dr,Wikidata P2002候補 Q15220933。要公式確認
H-0209,新藤 義孝,自民,shindo_y,Wikidata P2002候補 Q529792。要公式確認
H-0210,菅原 一秀,自民,sugawaraisshu,Wikidata P2002候補 Q11619136。要公式確認
H-0211,鈴木 英敬,自民,eikeisuzuki,Wikidata P2002候補 Q1303796。要公式確認
H-0212,鈴木 馨祐,自民,SuzukiKeisukeMP,Wikidata P2002候補 Q6383909。要公式確認
H-0213,鈴木 俊一,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0214,鈴木 淳司,自民,jyunji_suzuki,Wikidata P2002候補 Q11649031。要公式確認
H-0215,鈴木 貴子,自民,_SuzukiTakako_,Wikidata P2002候補 Q17160031。要公式確認
H-0216,鈴木 拓海,自民,SuzukiTakumi_ib,Wikidata P2002候補 Q138126586。要公式確認
H-0217,鈴木 憲和,自民,norikazu_suzuki,Wikidata P2002候補 Q11648868。要公式確認
H-0218,鈴木 隼人,自民,HYT4ALL,Wikidata P2002候補 Q20040828。要公式確認
H-0219,鈴木 美香,参政,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0220,鈴木 義弘,国民,yosshisuzuki,Wikidata P2002候補 Q11649189。要公式確認
H-0221,須田 英太郎,みらい,Btaros,Wikidata P2002候補 Q136693520。要公式確認
H-0222,住吉 寛紀,維新,sumiyoshi0124,Wikidata P2002候補 Q109602495。要公式確認
H-0223,関 健一郎,維新,sekikenichiro,Wikidata P2002候補 Q41770844。要公式確認
H-0224,関 芳弘,自民,sekiyoshihiro,Wikidata P2002候補 Q8056061。要公式確認
H-0225,世古 万美子,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0226,世耕 弘成,自民,SekoHiroshige,Wikidata P2002候補 Q5771167。要公式確認
H-0227,瀬戸 隆一,自民,setotakakazu,Wikidata P2002候補 Q11566681。要公式確認
H-0228,園崎 弘道,自民,sonosaki_kyoto,Wikidata P2002候補 Q124656026。要公式確認
H-0229,平 将明,自民,TAIRAMASAAKI,Wikidata P2002候補 Q6782264。要公式確認
H-0230,高市 早苗,自民,takaichi_sanae,Wikidata P2002候補 Q1705028。要公式確認
H-0231,高階 恵美子,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0232,高木 啓,自民,takagikei310,Wikidata P2002候補 Q41805239。要公式確認
H-0233,高木 宏壽,自民,takagi_hirohisa,Wikidata P2002候補 Q11670038。要公式確認
H-0234,高沢 一基,国民,takazawa1,Wikidata P2002候補 Q138296768。要公式確認
H-0235,高鳥 修一,自民,takatorishuichi,Wikidata P2002候補 Q7504756。要公式確認
H-0236,高橋 祐介,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0237,高見 康裕,自民,TAKAMI_yasuhiro,Wikidata P2002候補 Q109350078。要公式確認
H-0238,高見 亮,維新,roromomon,Wikidata P2002候補 Q138340006。要公式確認
